iso_code,gas_id,ano,trade_co2,consumption_co2
ALB,1,1990,0.036,5.556
ALB,1,1991,0.324,4.614
ALB,1,1992,0.399,2.916
ALB,1,1993,0.335,2.673
ALB,1,1994,0.449,2.373
ALB,1,1995,0.457,2.547
ALB,1,1996,1.009,3.026
ALB,1,1997,0.684,2.227
ALB,1,1998,0.782,2.537
ALB,1,1999,0.803,3.789
ALB,1,2000,1.055,4.08
ALB,1,2001,1.269,4.489
ALB,1,2002,1.375,5.123
ALB,1,2003,1.627,5.931
ALB,1,2004,1.351,5.528
ALB,1,2005,1.571,5.833
ALB,1,2006,1.831,5.742
ALB,1,2007,2.037,5.986
ALB,1,2008,2.152,6.549
ALB,1,2009,2.509,6.916
ALB,1,2010,1.831,6.615
ALB,1,2011,1.827,7.141
ALB,1,2012,1.993,6.843
ALB,1,2013,1.289,6.577
ALB,1,2014,0.511,6.511
ALB,1,2015,1.201,5.914
ALB,1,2016,1.191,5.823
ALB,1,2017,0.663,5.956
ALB,1,2018,1.048,5.943
ALB,1,2019,1.006,5.833
ALB,1,2020,1.058,5.769
ALB,1,2021,0.984,6.118
ALB,1,2022,0.841,6.014
ARG,1,1990,0.836,112.985
ARG,1,1991,3.65,121.405
ARG,1,1992,7.088,128.623
ARG,1,1993,5.939,123.941
ARG,1,1994,5.672,124.142
ARG,1,1995,3.097,128.374
ARG,1,1996,3.167,134.316
ARG,1,1997,7.072,143.625
ARG,1,1998,8.384,147.704
ARG,1,1999,1.531,149.835
ARG,1,2000,-1.391,142.078
ARG,1,2001,-4.561,130.576
ARG,1,2002,-42.745,82.186
ARG,1,2003,-21.775,112.706
ARG,1,2004,-23.691,133.358
ARG,1,2005,-20.876,140.712
ARG,1,2006,-23.355,150.954
ARG,1,2007,-17.465,156.116
ARG,1,2008,-14.568,172.774
ARG,1,2009,-20.492,157.688
ARG,1,2010,-14.109,171.837
ARG,1,2011,-0.003,189.772
ARG,1,2012,-1.605,189.757
ARG,1,2013,8.882,198.42
ARG,1,2014,-3.213,185.183
ARG,1,2015,8.151,199.895
ARG,1,2016,-2.734,187.187
ARG,1,2017,3.866,190.765
ARG,1,2018,-2.969,177.63
ARG,1,2019,-11.457,167.051
ARG,1,2020,-8.277,156.844
ARG,1,2021,-11.95,179.158
ARG,1,2022,-8.887,195.194
ARM,1,1990,-2.951,6.048
ARM,1,1991,-2.768,4.612
ARM,1,1992,-2.104,3.62
ARM,1,1993,-0.703,1.808
ARM,1,1994,-0.901,1.784
ARM,1,1995,-0.68,2.683
ARM,1,1996,0.288,2.789
ARM,1,1997,0.826,4.079
ARM,1,1998,0.615,4.034
ARM,1,1999,2.139,5.179
ARM,1,2000,0.768,4.259
ARM,1,2001,0.929,4.462
ARM,1,2002,1.352,4.429
ARM,1,2003,0.504,3.96
ARM,1,2004,0.541,4.232
ARM,1,2005,1.397,5.773
ARM,1,2006,0.725,5.127
ARM,1,2007,5.014,10.114
ARM,1,2008,0.958,6.532
ARM,1,2009,1.526,5.89
ARM,1,2010,1.041,5.294
ARM,1,2011,0.306,5.275
ARM,1,2012,0.77,6.518
ARM,1,2013,0.511,6.046
ARM,1,2014,0.213,5.817
ARM,1,2015,0.421,5.89
ARM,1,2016,0.313,5.516
ARM,1,2017,0.26,5.8
ARM,1,2018,1.265,7.088
ARM,1,2019,0.696,6.98
ARM,1,2020,0.695,7.49
ARM,1,2021,0.597,8.014
ARM,1,2022,0.03,7.194
AUS,1,1990,-34.901,243.259
AUS,1,1991,-35.695,243.839
AUS,1,1992,-38.086,246.443
AUS,1,1993,-41.51,247.364
AUS,1,1994,-37.772,255.929
AUS,1,1995,-43.362,261.694
AUS,1,1996,-43.842,268.099
AUS,1,1997,-44.627,275.706
AUS,1,1998,-38.442,295.694
AUS,1,1999,-47.176,296.784
AUS,1,2000,-59.134,290.874
AUS,1,2001,-58.196,299.588
AUS,1,2002,-44.294,318.242
AUS,1,2003,-34.903,334.726
AUS,1,2004,-38.46,344.699
AUS,1,2005,-42.011,344.165
AUS,1,2006,-36.208,356.152
AUS,1,2007,-31.654,367.821
AUS,1,2008,-41.889,362.952
AUS,1,2009,-13.05,394.044
AUS,1,2010,-10.288,394.843
AUS,1,2011,-9.406,394.452
AUS,1,2012,-4.792,401.404
AUS,1,2013,-18.857,380.21
AUS,1,2014,-13.173,379.556
AUS,1,2015,-20.159,381.337
AUS,1,2016,-38.818,371.57
AUS,1,2017,-36.254,377.563
AUS,1,2018,-50.331,365.26
AUS,1,2019,-52.539,363.231
AUS,1,2020,-44.05,355.134
AUS,1,2021,-46.983,342.036
AUS,1,2022,-45.343,339.019
AUT,1,1990,27.256,89.44
AUT,1,1991,25.32,91.103
AUT,1,1992,32.867,93.15
AUT,1,1993,28.396,89.105
AUT,1,1994,27.84,88.923
AUT,1,1995,29.035,93.095
AUT,1,1996,33.697,101.102
AUT,1,1997,27.936,95.238
AUT,1,1998,31.607,98.544
AUT,1,1999,31.263,96.931
AUT,1,2000,25.903,92.081
AUT,1,2001,26.435,96.6
AUT,1,2002,23.183,95.153
AUT,1,2003,23.516,100.912
AUT,1,2004,26.891,104.585
AUT,1,2005,27.724,106.816
AUT,1,2006,33.444,110.255
AUT,1,2007,31.363,105.475
AUT,1,2008,30.281,103.771
AUT,1,2009,28.015,95.322
AUT,1,2010,29.106,101.114
AUT,1,2011,33.169,103.07
AUT,1,2012,32.357,99.632
AUT,1,2013,27.117,94.883
AUT,1,2014,31.095,95.261
AUT,1,2015,22.76,89.118
AUT,1,2016,25.008,92.226
AUT,1,2017,22.182,91.781
AUT,1,2018,24.736,91.298
AUT,1,2019,21.47,89.416
AUT,1,2020,18.756,80.932
AUT,1,2021,22.232,87.989
AUT,1,2022,23.965,85.454
AZE,1,1990,-23.208,28.11
AZE,1,1991,-28.557,21.49
AZE,1,1992,-42.908,13.266
AZE,1,1993,-24.386,24.021
AZE,1,1994,-23.012,18.933
AZE,1,1995,-10.102,23.208
AZE,1,1996,-2.92,28.322
AZE,1,1997,-4.174,25.669
AZE,1,1998,-1.549,30.236
AZE,1,1999,-1.9,26.921
AZE,1,2000,-5.899,23.866
AZE,1,2001,-3.198,25.218
AZE,1,2002,1.558,30.128
AZE,1,2003,3.458,33.946
AZE,1,2004,8.025,40.278
AZE,1,2005,0.99,35.184
AZE,1,2006,2.464,36.986
AZE,1,2007,0.789,30.826
AZE,1,2008,0.931,33.967
AZE,1,2009,2.902,32.005
AZE,1,2010,2.811,30.36
AZE,1,2011,2.236,32.446
AZE,1,2012,3.014,35.787
AZE,1,2013,2.957,36.512
AZE,1,2014,3.005,37.354
AZE,1,2015,2.539,37.222
AZE,1,2016,0.815,35.542
AZE,1,2017,-0.349,34.349
AZE,1,2018,0.778,35.347
AZE,1,2019,0.284,38.029
AZE,1,2020,1.698,37.932
AZE,1,2021,0.66,38.953
AZE,1,2022,-2.236,38.156
BHR,1,1990,-0.665,10.829
BHR,1,1991,0.048,11.377
BHR,1,1992,0.574,10.977
BHR,1,1993,-1.345,15.403
BHR,1,1994,-0.323,14.029
BHR,1,1995,-0.414,14.33
BHR,1,1996,-1.19,14.752
BHR,1,1997,-3.068,14.153
BHR,1,1998,-2.254,16.022
BHR,1,1999,-8.666,9.589
BHR,1,2000,-8.145,11.055
BHR,1,2001,-8.27,11.409
BHR,1,2002,-7.569,12.543
BHR,1,2003,-11.486,9.49
BHR,1,2004,-12.971,8.232
BHR,1,2005,-15.842,8.644
BHR,1,2006,-15.205,8.831
BHR,1,2007,-15.262,11.364
BHR,1,2008,-16.165,13.36
BHR,1,2009,-11.019,17.079
BHR,1,2010,-10.883,18.193
BHR,1,2011,-15.886,12.582
BHR,1,2012,-14.764,12.355
BHR,1,2013,-18.483,12.675
BHR,1,2014,-16.485,14.415
BHR,1,2015,-14.455,18.005
BHR,1,2016,-13.72,17.84
BHR,1,2017,-13.633,19.202
BHR,1,2018,-12.915,19.718
BHR,1,2019,-16.143,21.437
BHR,1,2020,-15.671,21.725
BHR,1,2021,-18.51,17.686
BHR,1,2022,-19.982,15.67
BGD,1,1990,4.2,18.282
BGD,1,1991,4.619,19.372
BGD,1,1992,5.307,20.698
BGD,1,1993,4.932,21.006
BGD,1,1994,5.668,23.221
BGD,1,1995,5.337,26.393
BGD,1,1996,5.717,27.225
BGD,1,1997,5.986,29.13
BGD,1,1998,5.934,29.15
BGD,1,1999,5.192,30.285
BGD,1,2000,-1.029,25.511
BGD,1,2001,-1.686,29.378
BGD,1,2002,-1.251,30.756
BGD,1,2003,0.932,34.427
BGD,1,2004,0.891,36.873
BGD,1,2005,1.178,38.895
BGD,1,2006,-0.127,41.599
BGD,1,2007,-0.341,42.334
BGD,1,2008,-0.64,44.702
BGD,1,2009,-0.451,48.738
BGD,1,2010,-1.07,52.965
BGD,1,2011,-2.239,53.354
BGD,1,2012,0.842,60.545
BGD,1,2013,-1.032,63.731
BGD,1,2014,37.277,104.828
BGD,1,2015,-0.384,76.566
BGD,1,2016,36.073,117.835
BGD,1,2017,39.502,126.033
BGD,1,2018,43.316,129.927
BGD,1,2019,45.165,139.973
BGD,1,2020,44.908,140.362
BGD,1,2021,49.21,156.831
BGD,1,2022,50.578,164.441
BLR,1,1990,-46.601,61.744
BLR,1,1991,-37.096,66.975
BLR,1,1992,-48.142,45.341
BLR,1,1993,-42.328,38.234
BLR,1,1994,-37.594,30.285
BLR,1,1995,-25.992,34.914
BLR,1,1996,-13.622,48.113
BLR,1,1997,-16.305,45.284
BLR,1,1998,11.364,71.437
BLR,1,1999,9.942,67.908
BLR,1,2000,-12.814,42.092
BLR,1,2001,-14.704,39.299
BLR,1,2002,-14.575,39.269
BLR,1,2003,-14.482,40.606
BLR,1,2004,-16.475,41.778
BLR,1,2005,-16.301,43.009
BLR,1,2006,-14.838,46.906
BLR,1,2007,-10.864,49.354
BLR,1,2008,-10.734,52.103
BLR,1,2009,-4.147,56.43
BLR,1,2010,-0.689,61.756
BLR,1,2011,-10.274,51.034
BLR,1,2012,1.101,63.646
BLR,1,2013,2.243,66.369
BLR,1,2014,-0.643,63.006
BLR,1,2015,1.183,59.982
BLR,1,2016,0.565,58.7
BLR,1,2017,0.49,59.872
BLR,1,2018,1.27,63.426
BLR,1,2019,0.878,62.974
BLR,1,2020,-0.681,58.375
BLR,1,2021,0.219,61.157
BLR,1,2022,2.165,61.55
BEL,1,1990,34.655,154.952
BEL,1,1991,32.256,155.623
BEL,1,1992,49.858,172.35
BEL,1,1993,41.266,162.693
BEL,1,1994,37.802,162.602
BEL,1,1995,40.685,166.624
BEL,1,1996,36.124,165.605
BEL,1,1997,46.674,170.667
BEL,1,1998,50.47,180.695
BEL,1,1999,63.336,188.018
BEL,1,2000,63.789,190.512
BEL,1,2001,63.463,189.53
BEL,1,2002,67.311,194.174
BEL,1,2003,78.531,206.78
BEL,1,2004,89.893,218.675
BEL,1,2005,100.71,226.349
BEL,1,2006,102.29,226.174
BEL,1,2007,114.394,234.875
BEL,1,2008,114.365,234.545
BEL,1,2009,92.793,200.573
BEL,1,2010,101.616,216.106
BEL,1,2011,115.092,220.19
BEL,1,2012,106.727,209.162
BEL,1,2013,107.163,209.925
BEL,1,2014,114.84,211.873
BEL,1,2015,106.49,207.765
BEL,1,2016,108.182,207.923
BEL,1,2017,101.803,200.995
BEL,1,2018,108.121,208.279
BEL,1,2019,101.998,201.682
BEL,1,2020,87.226,178.455
BEL,1,2021,103.311,198.197
BEL,1,2022,113.023,202.025
BEN,1,1990,0.352,0.931
BEN,1,1991,0.369,0.988
BEN,1,1992,0.367,1.038
BEN,1,1993,0.351,1.158
BEN,1,1994,0.428,1.339
BEN,1,1995,0.473,1.429
BEN,1,1996,0.518,1.702
BEN,1,1997,0.685,1.909
BEN,1,1998,0.89,2.004
BEN,1,1999,0.545,2.007
BEN,1,2000,0.922,2.395
BEN,1,2001,1.407,3.096
BEN,1,2002,1.176,3.286
BEN,1,2003,1.34,3.734
BEN,1,2004,0.919,3.513
BEN,1,2005,1.268,3.758
BEN,1,2006,2.376,5.727
BEN,1,2007,2.407,6.338
BEN,1,2008,3.618,7.537
BEN,1,2009,2.249,6.473
BEN,1,2010,2.514,7.193
BEN,1,2011,4.498,8.978
BEN,1,2012,2.842,7.245
BEN,1,2013,3.147,7.713
BEN,1,2014,2.855,7.651
BEN,1,2015,2.481,7.814
BEN,1,2016,1.497,6.833
BEN,1,2017,1.248,6.829
BEN,1,2018,0.998,6.667
BEN,1,2019,0.951,6.213
BEN,1,2020,1.266,6.783
BEN,1,2021,1.528,7.287
BEN,1,2022,1.674,7.466
BOL,1,1990,-1.365,8.642
BOL,1,1991,-1.343,9.152
BOL,1,1992,-1.171,9.843
BOL,1,1993,-1.202,10.348
BOL,1,1994,-1.076,8.562
BOL,1,1995,-0.951,8.066
BOL,1,1996,-1.08,8.936
BOL,1,1997,-0.781,10.94
BOL,1,1998,-0.368,10.885
BOL,1,1999,0.47,11.409
BOL,1,2000,0.256,8.69
BOL,1,2001,0.128,8.871
BOL,1,2002,0.391,10.795
BOL,1,2003,-0.778,10.19
BOL,1,2004,-1.117,9.915
BOL,1,2005,-1.644,10.668
BOL,1,2006,-1.355,10.977
BOL,1,2007,-1.226,11.469
BOL,1,2008,-0.891,12.074
BOL,1,2009,-0.978,12.56
BOL,1,2010,-1.674,13.045
BOL,1,2011,-1.388,14.561
BOL,1,2012,-1.296,16.239
BOL,1,2013,-0.622,17.147
BOL,1,2014,-0.289,19.599
BOL,1,2015,0.476,20.362
BOL,1,2016,0.388,21.627
BOL,1,2017,0.343,22.514
BOL,1,2018,0.103,22.601
BOL,1,2019,0.258,22.863
BOL,1,2020,1.124,19.436
BOL,1,2021,0.452,22.208
BOL,1,2022,-0.103,22.275
BWA,1,1990,0.0,2.7
BWA,1,1991,0.0,2.634
BWA,1,1992,0.0,2.777
BWA,1,1993,0.0,3.195
BWA,1,1994,0.0,3.03
BWA,1,1995,0.0,3.045
BWA,1,1996,0.0,2.755
BWA,1,1997,0.0,2.799
BWA,1,1998,0.0,3.342
BWA,1,1999,0.0,3.158
BWA,1,2000,-0.495,3.283
BWA,1,2001,-0.659,3.188
BWA,1,2002,0.369,4.344
BWA,1,2003,-1.227,2.598
BWA,1,2004,-1.24,2.655
BWA,1,2005,-1.443,2.649
BWA,1,2006,-1.811,2.322
BWA,1,2007,-1.504,2.725
BWA,1,2008,-1.165,3.338
BWA,1,2009,-0.012,3.844
BWA,1,2010,5.543,10.08
BWA,1,2011,8.573,12.602
BWA,1,2012,6.848,11.925
BWA,1,2013,6.389,12.052
BWA,1,2014,6.729,13.579
BWA,1,2015,7.355,12.773
BWA,1,2016,6.914,13.258
BWA,1,2017,4.352,11.422
BWA,1,2018,4.066,11.705
BWA,1,2019,5.026,11.754
BWA,1,2020,5.342,10.893
BWA,1,2021,5.361,11.369
BWA,1,2022,5.074,11.67
BRA,1,1990,26.669,245.327
BRA,1,1991,22.323,251.717
BRA,1,1992,20.083,253.684
BRA,1,1993,17.998,262.304
BRA,1,1994,21.676,275.678
BRA,1,1995,30.063,298.741
BRA,1,1996,32.676,321.987
BRA,1,1997,35.565,342.514
BRA,1,1998,31.796,349.155
BRA,1,1999,5.891,333.147
BRA,1,2000,10.124,350.307
BRA,1,2001,-2.971,343.195
BRA,1,2002,-16.065,331.7
BRA,1,2003,-20.59,324.055
BRA,1,2004,-25.042,336.392
BRA,1,2005,-14.455,349.916
BRA,1,2006,-9.635,359.236
BRA,1,2007,2.299,392.872
BRA,1,2008,30.524,443.162
BRA,1,2009,24.003,413.778
BRA,1,2010,44.522,484.791
BRA,1,2011,56.73,519.31
BRA,1,2012,55.306,553.615
BRA,1,2013,58.83,591.249
BRA,1,2014,54.518,612.419
BRA,1,2015,18.695,548.048
BRA,1,2016,-5.049,487.699
BRA,1,2017,1.08,499.346
BRA,1,2018,0.258,478.637
BRA,1,2019,3.325,476.714
BRA,1,2020,-15.721,429.487
BRA,1,2021,-32.372,465.645
BRA,1,2022,-25.443,458.398
BRN,1,1990,-1.48,3.976
BRN,1,1991,-2.353,4.858
BRN,1,1992,-1.731,5.154
BRN,1,1993,-0.981,5.376
BRN,1,1994,-0.289,5.264
BRN,1,1995,-0.56,5.265
BRN,1,1996,0.094,5.972
BRN,1,1997,-1.66,4.427
BRN,1,1998,-0.16,5.435
BRN,1,1999,-1.564,4.414
BRN,1,2000,-1.851,3.478
BRN,1,2001,-1.766,3.424
BRN,1,2002,-1.25,3.419
BRN,1,2003,-0.217,5.381
BRN,1,2004,-0.311,5.33
BRN,1,2005,-0.343,5.085
BRN,1,2006,-1.043,6.1
BRN,1,2007,-1.006,7.071
BRN,1,2008,-1.474,7.691
BRN,1,2009,-1.3,6.445
BRN,1,2010,-1.454,6.563
BRN,1,2011,-0.761,8.794
BRN,1,2012,-0.449,9.051
BRN,1,2013,0.936,8.562
BRN,1,2014,-0.143,8.688
BRN,1,2015,0.6,7.534
BRN,1,2016,-0.563,7.07
BRN,1,2017,-0.893,8.416
BRN,1,2018,0.033,9.377
BRN,1,2019,-0.669,10.064
BRN,1,2020,-0.737,10.42
BRN,1,2021,-1.749,9.964
BRN,1,2022,-1.82,9.534
BGR,1,1990,-15.33,61.411
BGR,1,1991,-16.801,44.822
BGR,1,1992,-15.163,42.293
BGR,1,1993,-12.935,45.557
BGR,1,1994,-14.796,41.664
BGR,1,1995,-11.362,46.636
BGR,1,1996,-9.613,48.927
BGR,1,1997,-9.227,46.665
BGR,1,1998,-7.226,45.986
BGR,1,1999,-4.782,41.69
BGR,1,2000,-3.021,42.571
BGR,1,2001,-3.543,45.575
BGR,1,2002,-2.882,43.353
BGR,1,2003,-4.181,46.406
BGR,1,2004,-3.774,45.851
BGR,1,2005,-2.071,48.614
BGR,1,2006,-0.917,51.005
BGR,1,2007,-1.685,54.066
BGR,1,2008,0.981,55.09
BGR,1,2009,-0.808,45.029
BGR,1,2010,-2.861,45.039
BGR,1,2011,-6.194,47.011
BGR,1,2012,-4.494,43.867
BGR,1,2013,-4.475,38.251
BGR,1,2014,-6.341,38.91
BGR,1,2015,-7.628,40.575
BGR,1,2016,-5.843,39.576
BGR,1,2017,-6.432,41.089
BGR,1,2018,-2.876,40.701
BGR,1,2019,-2.594,39.674
BGR,1,2020,-0.697,35.947
BGR,1,2021,-1.914,40.511
BGR,1,2022,-5.003,41.963
BFA,1,1990,0.223,0.813
BFA,1,1991,0.23,0.868
BFA,1,1992,0.237,0.867
BFA,1,1993,0.234,0.867
BFA,1,1994,0.246,0.906
BFA,1,1995,0.28,0.941
BFA,1,1996,0.234,0.957
BFA,1,1997,0.281,1.041
BFA,1,1998,0.865,1.716
BFA,1,1999,1.293,2.337
BFA,1,2000,0.368,1.302
BFA,1,2001,0.528,1.589
BFA,1,2002,0.486,1.557
BFA,1,2003,0.509,1.697
BFA,1,2004,0.61,1.714
BFA,1,2005,0.567,1.679
BFA,1,2006,0.636,1.85
BFA,1,2007,0.631,2.251
BFA,1,2008,0.508,2.326
BFA,1,2009,1.114,2.95
BFA,1,2010,1.151,3.136
BFA,1,2011,0.685,2.834
BFA,1,2012,0.668,3.283
BFA,1,2013,0.829,3.638
BFA,1,2014,0.887,3.751
BFA,1,2015,0.776,4.519
BFA,1,2016,0.586,4.571
BFA,1,2017,0.461,5.084
BFA,1,2018,0.587,5.813
BFA,1,2019,0.533,6.154
BFA,1,2020,0.312,5.689
BFA,1,2021,0.252,6.541
BFA,1,2022,0.541,6.915
KHM,1,1990,0.594,1.854
KHM,1,1991,0.623,1.927
KHM,1,1992,0.675,2.023
KHM,1,1993,0.598,1.983
KHM,1,1994,0.649,2.075
KHM,1,1995,0.524,2.023
KHM,1,1996,0.736,2.253
KHM,1,1997,0.755,2.221
KHM,1,1998,0.906,2.782
KHM,1,1999,0.833,2.727
KHM,1,2000,2.841,4.841
KHM,1,2001,3.332,5.567
KHM,1,2002,4.904,7.055
KHM,1,2003,4.043,6.296
KHM,1,2004,5.514,7.756
KHM,1,2005,7.07,9.279
KHM,1,2006,7.536,10.383
KHM,1,2007,7.356,10.846
KHM,1,2008,8.681,12.617
KHM,1,2009,6.43,11.009
KHM,1,2010,9.609,14.673
KHM,1,2011,15.606,20.881
KHM,1,2012,14.678,20.254
KHM,1,2013,17.579,23.204
KHM,1,2014,15.277,21.976
KHM,1,2015,18.255,26.445
KHM,1,2016,15.447,26.095
KHM,1,2017,15.53,27.617
KHM,1,2018,18.016,31.949
KHM,1,2019,19.656,38.285
KHM,1,2020,19.947,38.982
KHM,1,2021,19.521,38.769
KHM,1,2022,18.898,38.507
CMR,1,1990,0.454,3.059
CMR,1,1991,0.44,3.108
CMR,1,1992,0.576,3.289
CMR,1,1993,0.591,3.457
CMR,1,1994,0.27,5.15
CMR,1,1995,0.246,5.621
CMR,1,1996,0.136,6.111
CMR,1,1997,0.685,6.064
CMR,1,1998,0.722,6.095
CMR,1,1999,-0.054,5.166
CMR,1,2000,0.632,6.221
CMR,1,2001,1.356,6.919
CMR,1,2002,2.282,7.633
CMR,1,2003,0.748,6.452
CMR,1,2004,0.488,6.187
CMR,1,2005,0.851,6.274
CMR,1,2006,0.759,6.245
CMR,1,2007,0.039,7.449
CMR,1,2008,0.414,7.735
CMR,1,2009,1.179,9.734
CMR,1,2010,1.251,9.634
CMR,1,2011,1.155,9.26
CMR,1,2012,2.282,9.885
CMR,1,2013,1.794,9.644
CMR,1,2014,1.867,10.639
CMR,1,2015,1.328,11.179
CMR,1,2016,1.584,11.549
CMR,1,2017,1.65,11.236
CMR,1,2018,0.72,10.567
CMR,1,2019,0.613,10.219
CMR,1,2020,0.809,10.524
CMR,1,2021,1.142,10.747
CMR,1,2022,0.854,10.9
CAN,1,1990,24.807,482.822
CAN,1,1991,32.262,482.018
CAN,1,1992,31.562,495.058
CAN,1,1993,18.114,482.274
CAN,1,1994,8.878,487.508
CAN,1,1995,4.275,495.689
CAN,1,1996,-2.444,505.285
CAN,1,1997,15.273,537.295
CAN,1,1998,11.212,540.848
CAN,1,1999,-2.158,541.707
CAN,1,2000,14.308,580.569
CAN,1,2001,0.969,559.329
CAN,1,2002,18.982,582.711
CAN,1,2003,-3.725,577.068
CAN,1,2004,4.585,583.748
CAN,1,2005,34.867,607.721
CAN,1,2006,7.77,575.943
CAN,1,2007,6.381,598.269
CAN,1,2008,7.119,582.889
CAN,1,2009,31.355,574.166
CAN,1,2010,51.388,606.123
CAN,1,2011,36.554,599.875
CAN,1,2012,12.817,577.039
CAN,1,2013,8.487,577.341
CAN,1,2014,-8.307,558.162
CAN,1,2015,-27.796,537.848
CAN,1,2016,-37.417,521.455
CAN,1,2017,-41.2,528.403
CAN,1,2018,-50.344,528.734
CAN,1,2019,-59.441,522.583
CAN,1,2020,-46.318,480.264
CAN,1,2021,-38.311,502.001
CAN,1,2022,-48.656,501.955
CHL,1,1990,-0.832,32.076
CHL,1,1991,0.013,30.904
CHL,1,1992,1.275,33.276
CHL,1,1993,1.458,35.556
CHL,1,1994,0.24,38.215
CHL,1,1995,-0.156,41.406
CHL,1,1996,0.097,48.323
CHL,1,1997,-0.927,55.015
CHL,1,1998,-1.275,55.983
CHL,1,1999,-1.547,59.861
CHL,1,2000,1.157,59.66
CHL,1,2001,0.687,53.605
CHL,1,2002,1.518,56.353
CHL,1,2003,-1.169,53.932
CHL,1,2004,-2.081,57.147
CHL,1,2005,-0.019,61.109
CHL,1,2006,0.329,64.381
CHL,1,2007,-0.011,70.466
CHL,1,2008,9.887,80.439
CHL,1,2009,-1.337,64.623
CHL,1,2010,2.656,74.003
CHL,1,2011,6.844,84.915
CHL,1,2012,9.702,89.322
CHL,1,2013,8.637,90.374
CHL,1,2014,5.921,83.511
CHL,1,2015,4.924,86.706
CHL,1,2016,3.6,87.85
CHL,1,2017,4.246,88.384
CHL,1,2018,7.728,92.167
CHL,1,2019,5.585,97.562
CHL,1,2020,2.836,83.014
CHL,1,2021,7.279,90.934
CHL,1,2022,7.295,89.832
CHN,1,1990,-164.554,2320.301
CHN,1,1991,-206.475,2399.621
CHN,1,1992,-154.997,2575.791
CHN,1,1993,-164.691,2756.96
CHN,1,1994,-353.8,2749.938
CHN,1,1995,-367.61,2994.028
CHN,1,1996,-383.422,3125.396
CHN,1,1997,-456.976,3058.618
CHN,1,1998,-404.724,2959.864
CHN,1,1999,-384.685,3172.59
CHN,1,2000,-386.813,3262.413
CHN,1,2001,-369.97,3358.539
CHN,1,2002,-452.293,3650.753
CHN,1,2003,-763.444,4077.675
CHN,1,2004,-901.407,4315.944
CHN,1,2005,-1163.779,4718.328
CHN,1,2006,-1358.414,5135.917
CHN,1,2007,-1436.465,5547.083
CHN,1,2008,-1532.08,5969.417
CHN,1,2009,-1169.984,6721.094
CHN,1,2010,-1283.493,7337.083
CHN,1,2011,-1392.463,8139.869
CHN,1,2012,-1280.388,8498.904
CHN,1,2013,-1231.844,8724.485
CHN,1,2014,-1183.674,8806.582
CHN,1,2015,-1003.059,8860.397
CHN,1,2016,-902.02,8860.693
CHN,1,2017,-871.352,9134.99
CHN,1,2018,-737.898,9595.094
CHN,1,2019,-782.537,9931.447
CHN,1,2020,-932.869,9972.824
CHN,1,2021,-1047.302,10400.611
CHN,1,2022,-1040.811,10309.728
COL,1,1990,5.096,61.994
COL,1,1991,3.847,60.501
COL,1,1992,5.882,67.377
COL,1,1993,5.81,69.148
COL,1,1994,5.642,72.68
COL,1,1995,7.466,66.886
COL,1,1996,6.543,66.456
COL,1,1997,7.032,72.288
COL,1,1998,6.434,72.233
COL,1,1999,0.717,56.192
COL,1,2000,-2.076,54.516
COL,1,2001,-1.466,55.383
COL,1,2002,-0.237,55.665
COL,1,2003,0.403,57.781
COL,1,2004,2.394,57.041
COL,1,2005,3.372,63.533
COL,1,2006,6.282,68.587
COL,1,2007,11.117,71.608
COL,1,2008,9.784,76.748
COL,1,2009,6.54,79.001
COL,1,2010,8.962,85.228
COL,1,2011,11.764,87.989
COL,1,2012,14.215,94.47
COL,1,2013,13.128,101.232
COL,1,2014,15.841,109.918
COL,1,2015,12.501,110.565
COL,1,2016,10.649,104.857
COL,1,2017,10.278,96.888
COL,1,2018,10.841,97.572
COL,1,2019,8.924,103.422
COL,1,2020,9.062,98.793
COL,1,2021,9.366,103.69
COL,1,2022,6.307,104.599
CRI,1,1990,2.242,5.155
CRI,1,1991,1.944,5.232
CRI,1,1992,1.993,5.735
CRI,1,1993,1.867,5.758
CRI,1,1994,1.67,6.87
CRI,1,1995,1.93,6.731
CRI,1,1996,1.902,6.589
CRI,1,1997,2.164,7.081
CRI,1,1998,2.859,8.094
CRI,1,1999,4.178,9.616
CRI,1,2000,2.59,7.984
CRI,1,2001,2.435,8.102
CRI,1,2002,4.293,10.539
CRI,1,2003,2.642,9.225
CRI,1,2004,2.726,9.568
CRI,1,2005,2.78,9.504
CRI,1,2006,3.567,10.574
CRI,1,2007,4.032,11.993
CRI,1,2008,4.619,12.609
CRI,1,2009,2.676,10.424
CRI,1,2010,3.598,11.091
CRI,1,2011,4.93,12.24
CRI,1,2012,4.906,12.166
CRI,1,2013,4.509,12.141
CRI,1,2014,4.308,12.056
CRI,1,2015,4.648,12.054
CRI,1,2016,4.327,12.183
CRI,1,2017,4.238,12.267
CRI,1,2018,4.682,12.694
CRI,1,2019,4.608,12.307
CRI,1,2020,4.012,10.782
CRI,1,2021,4.422,12.07
CRI,1,2022,4.401,12.248
CIV,1,1990,1.177,5.958
CIV,1,1991,1.272,5.58
CIV,1,1992,1.973,5.817
CIV,1,1993,1.475,6.568
CIV,1,1994,1.317,5.45
CIV,1,1995,1.175,7.4
CIV,1,1996,-0.299,7.227
CIV,1,1997,-0.34,6.871
CIV,1,1998,1.942,8.697
CIV,1,1999,0.33,6.422
CIV,1,2000,0.378,7.012
